ticker;name;sektor;land;waehrung;marktkap_mrd;roce_prozent;roce_schnitt_prozent;gewinnrendite_prozent;fcf_rendite_prozent;umsatz_cagr_prozent;bruttomarge_prozent;schulden_zu_ebitda;kgv;rang_qualitaet;rang_bewertung;magic_rang;kandidat;verletzte_kriterien;ausschluss
NEM.DE;Nemetschek SE                 I;Technology;Germany;EUR;6.8;20.2;21.2;4.3;5.7;14.1;61.0;0.4;27.8;14;64;78;nein;Gewinnrendite < 5 %;
ASML.AS;ASML HOLDING;Technology;Netherlands;EUR;548.6;43.8;37.7;2.1;2.0;15.6;52.8;0.0;56.3;2;76;78;nein;Gewinnrendite < 5 % | FCF-Rendite < 3 %;
BFSA.DE;BEFESA S.A.                   A;Industrials;Luxembourg;EUR;1.4;9.3;7.9;7.7;9.7;1.3;58.0;2.4;16.4;49;31;80;nein;ROCE < 15 %;
RACE.MI;FERRARI;Consumer Cyclical;Italy;EUR;61.2;29.1;26.3;3.4;2.3;11.9;51.7;0.5;37.5;8;72;80;nein;Gewinnrendite < 5 % | FCF-Rendite < 3 %;
G24.DE;Scout24 SE                    N;Communication Services;Germany;EUR;5.3;16.2;13.5;5.3;5.0;13.2;99.5;0.3;20.7;25;56;81;JA;;
BMW.DE;BAYERISCHE MOTOREN WERKE AG   S;Consumer Cyclical;Germany;EUR;36.2;5.9;9.4;10.5;-7.6;-2.2;15.4;3.4;5.8;68;14;82;nein;ROCE < 15 % | FCF-Rendite < 3 % | Umsatz schrumpft | Nettoschulden > 3x EBITDA | FCF mehrfach negativ;
OR.PA;L'OREAL;Consumer Defensive;France;EUR;208.1;19.1;21.4;4.2;3.4;4.8;74.3;0.2;34.1;17;65;82;nein;Gewinnrendite < 5 %;
RHM.DE;RHEINMETALL AG                I;Industrials;Germany;EUR;54.4;21.9;17.7;3.1;2.6;15.7;52.4;0.0;51.4;11;73;84;nein;Gewinnrendite < 5 % | FCF-Rendite < 3 %;
AFX.DE;Carl Zeiss Meditec AG         I;Healthcare;Germany;EUR;2.8;7.7;13.2;7.7;4.8;5.4;52.8;0.3;23.1;54;32;86;nein;ROCE < 15 %;
FRE.DE;Fresenius SE & Co. KGaA       I;Healthcare;Germany;EUR;25.2;8.0;5.3;7.3;4.3;2.0;24.9;2.8;16.7;52;35;87;nein;ROCE < 15 %;
ZAL.DE;Zalando SE                    I;Consumer Cyclical;Germany;EUR;7.1;10.0;7.4;6.6;12.8;6.1;39.9;0.0;65.9;46;41;87;nein;ROCE < 15 %;
JUN3.DE;JUNGHEINRICH AG               I;Industrials;Germany;EUR;2.6;4.6;8.0;9.7;13.5;4.9;32.2;0.0;24.9;73;16;89;nein;ROCE < 15 %;
UTDI.DE;UNITED INTERNET AG            N;Communication Services;Germany;EUR;4.1;6.8;6.8;7.5;12.4;1.1;31.2;3.3;14.7;61;33;94;nein;ROCE < 15 % | Nettoschulden > 3x EBITDA;
BN.PA;DANONE;Consumer Defensive;France;EUR;43.4;10.0;8.8;5.9;6.3;-0.5;50.6;1.8;22.4;48;48;96;nein;ROCE < 15 % | Umsatz schrumpft;
SU.PA;SCHNEIDER ELECTRIC SE;Industrials;France;EUR;163.4;15.3;14.0;3.8;2.8;5.5;42.1;1.6;34.1;28;70;98;nein;Gewinnrendite < 5 % | FCF-Rendite < 3 %;
STM.DE;Stabilus SE                   I;Industrials;Germany;EUR;0.4;5.3;10.1;7.7;28.9;5.1;27.2;3.7;24.8;71;29;100;nein;Marktkap. < 1 Mrd | ROCE < 15 % | Nettoschulden > 3x EBITDA;
SAN.PA;SANOFI;Healthcare;France;EUR;90.1;6.9;7.7;6.7;8.0;4.8;72.1;1.0;23.2;60;40;100;nein;ROCE < 15 %;
SIE.DE;SIEMENS AG                    N;Industrials;Germany;EUR;217.7;10.5;10.7;4.9;5.0;3.1;38.5;2.5;29.5;44;58;102;nein;ROCE < 15 % | Gewinnrendite < 5 %;
VOW3.DE;VOLKSWAGEN AG                 V;Consumer Cyclical;Germany;EUR;38.4;3.0;5.2;7.8;-24.3;4.9;15.9;2.5;7.3;78;27;105;nein;ROCE < 15 % | FCF-Rendite < 3 % | FCF mehrfach negativ;
BNR.DE;Brenntag SE                   N;Basic Materials;Germany;EUR;9.0;7.7;12.6;5.5;7.5;-7.9;25.3;2.0;39.3;53;53;106;nein;ROCE < 15 % | Umsatz schrumpft;
AI.PA;AIR LIQUIDE;Basic Materials;France;EUR;108.0;11.5;10.7;4.2;2.5;-3.5;64.2;1.3;30.5;39;67;106;nein;ROCE < 15 % | Gewinnrendite < 5 % | FCF-Rendite < 3 % | Umsatz schrumpft;
MRK.DE;MERCK KGAA                    I;Healthcare;Germany;EUR;62.6;8.7;9.8;5.2;3.2;-1.7;58.5;1.5;24.7;50;57;107;nein;ROCE < 15 % | Umsatz schrumpft;
VOW.DE;VOLKSWAGEN AG                 I;Consumer Cyclical;Germany;EUR;38.9;3.0;5.2;7.8;-24.0;4.9;15.9;2.5;7.4;79;28;107;nein;ROCE < 15 % | FCF-Rendite < 3 % | FCF mehrfach negativ;
AIR.PA;AIRBUS SE;Industrials;Netherlands;EUR;164.6;10.0;9.1;4.5;2.4;7.7;14.9;0.0;27.9;47;62;109;nein;ROCE < 15 % | Gewinnrendite < 5 % | FCF-Rendite < 3 %;
ENR.DE;Siemens Energy AG             N;Industrials;Germany;EUR;125.6;13.8;1.3;2.1;3.3;10.4;16.8;0.0;58.1;32;77;109;nein;ROCE < 15 % | Gewinnrendite < 5 %;
8TRA.DE;TRATON SE                     I;Industrials;Germany;EUR;20.6;6.2;8.2;6.1;-9.2;3.0;19.1;4.1;11.7;67;47;114;nein;ROCE < 15 % | FCF-Rendite < 3 % | Nettoschulden > 3x EBITDA | FCF mehrfach negativ;
DTG.DE;Daimler Truck Holding AG      N;Industrials;Germany;EUR;38.2;6.2;8.6;5.7;7.5;-3.7;19.0;3.9;31.8;66;50;116;nein;ROCE < 15 % | Umsatz schrumpft | Nettoschulden > 3x EBITDA | FCF mehrfach negativ;
AIXA.DE;AIXTRON SE                    N;Technology;Germany;EUR;4.1;11.0;15.6;2.6;4.4;6.3;40.0;0.0;70.5;42;74;116;nein;ROCE < 15 % | Gewinnrendite < 5 % | FCF mehrfach negativ;
MBG.DE;Mercedes-Benz Group AG        N;Consumer Cyclical;Germany;EUR;46.1;3.7;8.8;6.1;17.9;-4.1;16.9;4.5;9.1;75;46;121;nein;ROCE < 15 % | Umsatz schrumpft | Nettoschulden > 3x EBITDA;
JEN.DE;JENOPTIK AG                   N;Technology;Germany;EUR;2.1;7.7;8.4;4.2;5.7;2.2;32.1;1.8;28.1;55;68;123;nein;ROCE < 15 % | Gewinnrendite < 5 %;
KGX.DE;KION GROUP AG                 I;Industrials;Germany;EUR;5.3;5.3;5.3;5.7;21.3;0.5;26.1;3.6;13.8;72;51;123;nein;ROCE < 15 % | Nettoschulden > 3x EBITDA;
BAS.DE;BASF SE                       N;Basic Materials;Germany;EUR;44.0;5.7;4.3;5.3;3.1;-11.9;24.1;2.7;21.5;69;55;124;nein;ROCE < 15 % | Umsatz schrumpft;
EVK.DE;Evonik Industries AG          N;Basic Materials;Germany;EUR;8.3;4.4;3.4;5.6;8.4;-8.7;23.1;1.8;52.2;74;52;126;nein;ROCE < 15 % | Umsatz schrumpft;
HLE.DE;HELLA GmbH & Co. KGaA         I;Consumer Cyclical;Germany;EUR;8.0;6.8;8.4;4.2;3.7;7.5;21.8;0.0;69.6;62;66;128;nein;ROCE < 15 % | Gewinnrendite < 5 %;
SY1.DE;Symrise AG                    I;Basic Materials;Germany;EUR;12.2;7.2;8.5;3.5;4.6;2.2;37.6;2.1;50.1;58;71;129;nein;ROCE < 15 % | Gewinnrendite < 5 %;
HAG.DE;HENSOLDT AG                   I;Industrials;Germany;EUR;9.9;7.5;8.3;2.2;2.5;12.8;21.4;1.7;98.2;57;75;132;nein;ROCE < 15 % | Gewinnrendite < 5 % | FCF-Rendite < 3 %;
EL.PA;ESSILORLUXOTTICA;Healthcare;France;EUR;77.1;6.6;6.3;4.0;4.9;5.2;60.6;1.6;31.4;63;69;132;nein;ROCE < 15 % | Gewinnrendite < 5 %;
